日期,项目,日活,日活环比,新增,新增环比,自身充值,导量充值,广告收入,导量,1日留存,3日留存,7日留存
2026/3/30,911爆料,437298,,371864,,50,1200,,338,15791,3326,1083
2026/3/30,911爆料APP,19168,,1958,,50,300,,142,229,149,122
2026/3/30,章鱼导航,2790,,2425,,,1350,,447,31,13,6
2026/3/30,吃瓜网,213527,,172322,,80,300,,54,9019,1674,453
2026/3/30,吃瓜网APP,25637,,2368,,700,400,,198,289,188,181
2026/3/30,吃瓜导航,1737,,1509,,,100,,279,20,12,7
2026/3/30,每日大乱斗,17768,,10659,,,0,,5,537,143,123
2026/3/30,91爆料,32852,,28068,,,0,,15,2052,1159,136
2026/3/30,91爆料APP,3206,,763,,,50,,33,25,23,13
2026/3/30,麻豆导航,199,,181,,,0,,32,1,,1
2026/3/30,私房KTV,7603,,6488,,,0,,7,122,54,5
2026/3/30,猎奇社,9516,,6726,,,100,,72,454,104,64
2026/3/30,1024吃瓜,18772,,14599,,,250,,23,800,92,42
2026/3/30,探花网,5691,,3555,,,0,,0,224,98,70
